stage_id,name,economic_weight_0_1,hhi_raw,geo_concentration_0_10,policy_exposure_0_10,network_influence_0_10,subst_0_10,market_0_10,structural_vulnerability_0_10,baseline_operational_field_signed,baseline_operational_display_0_10
research,Research / IP,0.48974,0.185,1.85,0,5.654609,6.5,3,3.398502,0.027115,5.135575
eda,EDA software,0.445997,0.4434,4.434,0,4.159911,9,5,4.19642,0.041697,5.208485
design,Chip design,0.888821,0.3058,3.058,0,6.164613,6,9,4.391948,0.136043,5.680216
wafers,Silicon wafers,0.445997,0.3502,3.502,7,4.55685,7.5,4,5.294014,0.103517,5.517585
resist,Photoresists,0.222999,0.5942,5.942,6,4.025906,8.5,3.5,5.57764,0.031702,5.15851
gases,Specialty gases / chem,0.353444,0.1816,1.816,7,5.558864,7,3.5,5.058796,0.442067,7.210336
substrates,IC substrates (ABF),0.412596,0.2792,2.792,0,3.278994,7.5,4.5,3.281276,0.201815,6.009076
litho,Lithography (EUV/DUV),0.552389,0.8182,8.182,10,5.592036,9.8,7,8.004899,0.103517,5.517585
depo,Deposition,0.48974,0.276,2.76,10,4.145243,7.5,6,5.903679,0.303257,6.516286
etch,Etch & clean,0.504374,0.3334,3.334,10,4.091135,7.5,6,6.016204,0.289322,6.44661
cmp,CMP & slurries,0.313018,0.43,4.3,0,2.266983,6.5,4,3.113051,0.263761,6.318804
metro,Metrology / inspection,0.424517,0.4904,4.904,10,3.82617,8,5.5,6.319269,0.152984,5.76492
adv_fab,Advanced fab (≤7nm),0.771448,0.4408,4.408,10,7.730715,9.5,8.5,7.876976,0.760112,8.800558
mature_fab,Mature-node fab,0.725614,0.1998,1.998,5.6,5.966746,5,6,4.845874,0.019821,5.099103
memory_fab,Memory fab (DRAM/NAND),0.784222,0.4074,4.074,4,7.209803,6.5,8.5,5.824723,0.145406,5.727031
logic_ai,Logic & AI accelerators,0.918043,0.4974,4.974,9,6.1349,6.5,9.5,6.948361,0.516323,7.581615
analog,Analog / power / RF,0.725614,0.22665,2.2665,7,5.091036,5,6,4.973399,0.4202,7.101
hbm,HBM,0.524096,0.6152,6.152,9,4.008292,8.5,9,6.897192,0.740868,8.70434
adv_pkg,Advanced packaging,0.615873,0.31,3.1,5,5.916472,8,7.5,5.610131,0.401766,7.00883
osat,OSAT / test,0.597363,0.2562,2.562,0,5.087031,4.5,5,3.287953,0.076353,5.381767
systems,Final systems (ODM/EMS),1,0.2318,2.318,4,10,3.5,6.5,5.487333,0.132194,5.660968
m_ai,AI data centers,0.942763,0.4238,4.238,0,5.478599,3,9,3.963611,0.039671,5.198356
m_auto,Automotive / industrial,0.725614,0.2078,2.078,4,4.216702,3.5,6,3.771973,0.039671,5.198356
m_consumer,Consumer / mobile,0.888821,0.275,2.75,4,5.165133,3,6.5,4.156981,0.039671,5.198356
